spp,hatchdat,sizename,sizeclass_cm,Trial_ID,Contact_event,Contact_Orientation,Contact_First_Bodypart,N_Contact,Time_Point,Notes,Data_Enterer,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_E,2,Downstream,Head,1,t5,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_E,3,Downstream,Tail,1,t5,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_E,4,Downstream,Tail,1,t5,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_E,5,Downstream,Tail,1,t5,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_E,6,Downstream,Tail,1,t5,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_E,7,Unknown,Head,1,t5,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_E,1,Upstream,Head,1,t10,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_E,2,Upstream,Head,1,t10,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_E,3,Upstream,Tail,1,t10,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_E,4,Upstream,Body,1,t10,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_E,5,Downstream,Head,1,t10,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_E,6,Downstream,Tail,1,t10,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_E,7,Downstream,Tail,1,t10,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_E,8,Downstream,Body,2,t10,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_E,9,Downstream,Body,1,t10,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_E,10,Downstream,Body,1,t10,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_E,11,Downstream,Body,1,t10,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_E,12,Downstream,Body,1,t10,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_E,1,Upstream,Body,3,t15,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_E,2,Upstream,Body,3,t15,NA,Megan,,,,,,,,,,
